rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
75,frame_0321.jpg,128.4,0.4818,0.5836,0.5,0.2,6,3,False,False
76,frame_0214.jpg,85.6,0.4811,0.6542,0.1667,0.52,3,1,False,False
77,frame_0305.jpg,122.0,0.48,0.548,0.5,0.28,6,3,False,False
78,frame_0322.jpg,128.8,0.4798,0.5956,0.5,0.16,8,3,False,False
79,frame_0180.jpg,72.0,0.4797,0.5273,0.6667,0.08,7,4,False,False
80,frame_0205.jpg,82.0,0.479,0.5699,0.1667,0.72,2,1,False,False
81,frame_0127.jpg,50.8,0.478,0.4361,0.3333,0.8,7,2,False,False
82,frame_0008.jpg,3.2,0.4772,0.4544,0.1667,1.0,4,1,False,False
83,frame_0124.jpg,49.6,0.4741,0.5761,0.1667,0.68,10,1,False,False
84,frame_0211.jpg,84.4,0.4709,0.4858,0.3333,0.64,3,2,False,False
85,frame_0377.jpg,150.8,0.468,0.588,0.5,0.12,11,3,False,False
86,frame_0186.jpg,74.4,0.4677,0.5194,0.6667,0.04,10,4,False,False
87,frame_0094.jpg,37.6,0.4671,0.4541,0.6667,0.2,7,4,False,False
88,frame_0181.jpg,72.4,0.4668,0.7176,0.3333,0.04,6,2,False,False
89,frame_0022.jpg,8.8,0.4662,0.3325,0.3333,1.0,5,2,False,False
90,frame_0372.jpg,148.8,0.4661,0.5842,0.5,0.12,5,3,False,False
91,frame_0073.jpg,29.2,0.4636,0.4272,0.1667,1.0,6,1,False,False
92,frame_0174.jpg,69.6,0.4631,0.5982,0.3333,0.32,6,2,False,False
93,frame_0071.jpg,28.4,0.4607,0.3214,0.3333,1.0,8,2,False,False
94,frame_0277.jpg,110.8,0.4606,0.7091,0.1667,0.28,9,1,False,False
95,frame_0302.jpg,120.8,0.46,0.56,0.3333,0.4,8,2,False,False
96,frame_0315.jpg,126.0,0.4594,0.4708,0.6667,0.12,10,4,False,False
97,frame_0204.jpg,81.6,0.4575,0.543,0.1667,0.68,2,1,False,False
98,frame_0396.jpg,158.4,0.4573,0.5506,0.5,0.16,8,3,False,False
99,frame_0303.jpg,121.2,0.4571,0.5703,0.3333,0.36,6,2,False,False
100,frame_0177.jpg,70.8,0.4564,0.6329,0.3333,0.2,7,2,False,False
101,frame_0367.jpg,146.8,0.4553,0.6786,0.3333,0.08,9,2,False,False
102,frame_0067.jpg,26.8,0.4549,0.4098,0.1667,1.0,7,1,False,False
103,frame_0307.jpg,122.8,0.4544,0.5288,0.5,0.2,12,3,False,False
104,frame_0105.jpg,42.0,0.4531,0.6743,0.3333,0.08,7,2,False,False
